date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:20:56	86/86	---M--	200	added ('OK')	text/plain	date:Fri,%2006%20Mar%202020%2007:31:20%20GMT	https://writingerrands.com/robots.txt		(from )
02:20:58	121862/121862	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20May%202021%2009:20:56%20GMT	https://writingerrands.com/	D:/1.websites/admin%20panal/writingerrands.com/index.html	(from )
02:21:00	4917/4917	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Aug%202020%2006:39:02%20GMT	https://writingerrands.com/images/favicon-logo.png	D:/1.websites/admin%20panal/writingerrands.com/images/favicon-logo.png	(from https://writingerrands.com/)
02:21:02	122628/122628	---M--	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2014:45:48%20GMT	https://writingerrands.com/css/bootstrap.css	D:/1.websites/admin%20panal/writingerrands.com/css/bootstrap.css	(from https://writingerrands.com/)
02:21:03	15466/15466	---M--	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2014:45:44%20GMT	https://writingerrands.com/css/q.css	D:/1.websites/admin%20panal/writingerrands.com/css/q.css	(from https://writingerrands.com/)
02:21:05	21888/21888	---M--	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2014:45:47%20GMT	https://writingerrands.com/css/main.css	D:/1.websites/admin%20panal/writingerrands.com/css/main.css	(from https://writingerrands.com/)
02:21:06	6481/6481	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Mar%202020%2007:31:20%20GMT	https://writingerrands.com/style.css	D:/1.websites/admin%20panal/writingerrands.com/style.css	(from https://writingerrands.com/)
02:21:07	812/812	---M--	200	added ('OK')	text/css	date:Sun,%2016%20May%202021%2014:45:44%20GMT	https://writingerrands.com/css/responsive.css	D:/1.websites/admin%20panal/writingerrands.com/css/responsive.css	(from https://writingerrands.com/)
02:21:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20May%202021%2009:21:08%20GMT	https://writingerrands.com/css/cropper_.css	D:/1.websites/admin%20panal/writingerrands.com/css/cropper_.6.delayed	(from https://writingerrands.com/)
02:21:09	618388/618388	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20May%202017%2015:29:01%20GMT	https://cdn.ckeditor.com/4.7.0/full-all/ckeditor.js	D:/1.websites/admin%20panal/cdn.ckeditor.com/4.7.0/full-all/ckeditor.js	(from https://writingerrands.com/)
02:21:13	86927/86927	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Feb%202019%2013:34:32%20GMT	https://writingerrands.com/js/jquery.js	D:/1.websites/admin%20panal/writingerrands.com/js/jquery.js	(from https://writingerrands.com/)
02:21:14	68618/68618	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Feb%202019%2014:05:18%20GMT	https://writingerrands.com/js/bootstrap.js	D:/1.websites/admin%20panal/writingerrands.com/js/bootstrap.js	(from https://writingerrands.com/)
02:21:16	45169/45169	---M--	200	added ('OK')	application/javascript	date:Tue,%2016%20Feb%202016%2013:19:16%20GMT	https://writingerrands.com/js/form-plugin.js	D:/1.websites/admin%20panal/writingerrands.com/js/form-plugin.js	(from https://writingerrands.com/)
02:21:17	22752/22752	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Mar%202020%2001:05:16%20GMT	https://writingerrands.com/js/q.js	D:/1.websites/admin%20panal/writingerrands.com/js/q.js	(from https://writingerrands.com/)
02:21:19	7959/7959	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Oct%202019%2003:18:20%20GMT	https://writingerrands.com/js/autosize.js	D:/1.websites/admin%20panal/writingerrands.com/js/autosize.js	(from https://writingerrands.com/)
02:21:20	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202020%2000:46:36%20GMT	https://writingerrands.com/js/uploder.js	D:/1.websites/admin%20panal/writingerrands.com/js/uploder.d.delayed	(from https://writingerrands.com/)
02:21:23	113704/113704	---M--	200	added ('OK')	application/javascript	date:Sun,%2025%20Oct%202020%2008:30:18%20GMT	https://writingerrands.com/js/cropper.js	D:/1.websites/admin%20panal/writingerrands.com/js/cropper.js	(from https://writingerrands.com/)
